result_position,endpoint_pair,edge_count
880,Al-Si,96
881,Al-Si,96
882,Al-Si,96
883,Al-Si,96
884,Al-Si,96
885,Al-Si,96
886,Al-Si,96
887,Al-Si,96
888,Al-Si,96
889,Al-Si,96
890,Al-Si,96
891,Al-Si,96
892,Al-Si,96
893,Al-Si,96
894,Al-Si,96
895,Al-Si,96
896,Al-Si,96
897,Al-Si,96
898,Al-Si,96
899,Al-Si,96
900,Al-Si,96
901,Al-Si,96
902,Al-Si,96
903,Al-Si,96
904,Al-Si,96
905,Al-Si,96
906,Al-Si,96
907,Al-Si,96
908,Al-Si,96
909,Al-Si,96
910,Al-Si,96
911,Al-Si,96
912,Al-Si,96
913,Al-Si,96
914,Al-Si,96
915,Al-Si,96
916,Al-Si,96
917,Al-Si,96
918,Al-Si,96
919,Al-Si,96
920,Al-Si,96
921,Al-Si,96
922,Al-Si,96
923,Al-Si,96
924,Al-Si,96
925,Al-Si,96
926,Al-Si,96
927,Al-Si,96
928,Al-Si,96
929,Al-Si,96
930,Al-Si,96
931,Al-Si,96
932,Al-Si,96
933,Al-Si,96
934,Al-Si,96
935,Al-Si,96
936,Al-Si,96
937,Al-Si,96
938,Al-Si,96
939,Al-Si,96
940,Al-Si,96
941,Al-Si,96
942,Al-Si,96
943,Al-Si,96
944,Al-Si,96
945,Al-Si,96
946,Al-Si,96
947,Al-Si,96
948,Al-Si,96
949,Al-Si,96
950,Al-Si,96
951,Al-Si,96
952,Al-Si,96
953,Al-Si,96
954,Al-Si,96
955,Al-Si,96
956,Al-Si,96
957,Al-Si,96
958,Al-Si,96
959,Al-Si,96
960,Al-Si,96
961,Al-Si,96
962,Al-Si,96
963,Al-Si,96
964,Al-Si,96
965,Al-Si,96
966,Al-Si,96
967,Al-Si,96
968,Al-Si,96
969,Al-Si,96
970,Al-Si,96
971,Al-Si,96
972,Al-Si,96
973,Al-Si,96
974,Al-Si,96
975,Al-Si,96
976,Al-Si,96
977,Al-Si,96
978,Al-Si,96
979,Al-Si,96
980,Al-Si,96
981,Al-Si,96
982,Al-Si,96
983,Al-Si,96
984,Al-Si,96
985,Al-Si,96
986,Al-Si,96
987,Al-Si,96
988,Al-Si,96
989,Al-Si,96
990,Al-Si,96
991,Al-Si,96
992,Al-Si,96
993,Al-Si,96
994,Al-Si,96
995,Al-Si,96
996,Al-Si,96
997,Al-Si,96
998,Al-Si,96
999,Al-Si,96
1000,Al-Si,96
1001,Al-Si,96
1002,Al-Si,96
1003,Al-Si,96
1004,Al-Si,96
1005,Al-Si,96
1006,Al-Si,96
1007,Al-Si,96
1008,Al-Si,96
1009,Al-Si,96
1010,Al-Si,96
1011,Al-Si,96
1012,Al-Si,96
1013,Al-Si,96
1014,Al-Si,96
1015,Al-Si,96
1016,Al-Si,96
1017,Al-Si,96
1018,Al-Si,96
1019,Al-Si,96
1020,Al-Si,96
1021,Al-Si,96
1022,Al-Si,96
1023,Al-Si,96
1024,Al-Si,96
1025,Al-Si,96
1026,Al-Si,96
1027,Al-Si,96
1028,Al-Si,96
1029,Al-Si,96
1030,Al-Si,96
1031,Al-Si,96
1032,Al-Si,96
1033,Al-Si,96
1034,Al-Si,96
1035,Al-Si,96
1036,Al-Si,96
1037,Al-Si,96
1038,Al-Si,96
1039,Al-Si,96
1040,Al-Si,96
1041,Al-Si,96
1042,Al-Si,96
1043,Al-Si,96
1044,Al-Si,96
1045,Al-Si,96
1046,Al-Si,96
1047,Al-Si,96
1048,Al-Si,96
1049,Al-Si,96
1050,Al-Si,96
1051,Al-Si,96
1052,Al-Si,96
1053,Al-Si,96
1054,Al-Si,96
1055,Al-Si,96
1056,Al-Si,96
1057,Al-Si,96
1058,Al-Si,96
1059,Al-Si,96
1060,Al-Si,96
1061,Al-Si,96
1062,Al-Si,96
1063,Al-Si,96
1064,Al-Si,96
1065,Al-Si,96
1066,Al-Si,96
1067,Al-Si,96
1068,Al-Si,96
1069,Al-Si,96
1070,Al-Si,96
1071,Al-Si,96
1072,Al-Si,96
1073,Al-Si,96
1074,Al-Si,96
1075,Al-Si,96
1076,Al-Si,96
1077,Al-Si,96
1078,Al-Si,96
1079,Al-Si,96
1080,Al-Si,96
1081,Al-Si,96
1082,Al-Si,96
1083,Al-Si,96
1084,Al-Si,96
1085,Al-Si,96
1086,Al-Si,96
1087,Al-Si,96
1088,Al-Si,96
1089,Al-Si,96
1090,Al-Si,96
1091,Al-Si,96
1092,Al-Si,96
1093,Al-Si,96
1094,Al-Si,96
1095,Al-Si,96
1096,Al-Si,96
1097,Al-Si,96
1098,Al-Si,96
1099,Al-Si,96
1100,Al-Si,96
1101,Al-Si,96
1102,Al-Si,96
1103,Al-Si,96
1104,Al-Si,96
1105,Al-Si,96
1106,Al-Si,96
1107,Al-Si,96
1108,Al-Si,96
1109,Al-Si,96
1110,Al-Si,96
1111,Al-Si,96
1112,Al-Si,96
1113,Al-Si,96
1114,Al-Si,96
1115,Al-Si,96
1116,Al-Si,96
1117,Al-Si,96
1118,Al-Si,96
1119,Al-Si,96
1120,Al-Si,96
1121,Al-Si,96
1122,Al-Si,96
1123,Al-Si,96
1124,Al-Si,96
1125,Al-Si,96
1126,Al-Si,96
1127,Al-Si,96
1128,Al-Si,96
1129,Al-Si,96
1130,Al-Si,96
1131,Al-Si,96
1132,Al-Si,96
1133,Al-Si,96
1134,Al-Si,96
1135,Al-Si,96
1136,Al-Si,96
1137,Al-Si,96
1138,Al-Si,96
1139,Al-Si,96
1140,Al-Si,96
1141,Al-Si,96
1142,Al-Si,96
1143,Al-Si,96
1144,Al-Si,96
1145,Al-Si,96
1146,Al-Si,96
1147,Al-Si,96
1148,Al-Si,96
1149,Al-Si,96
1150,Al-Si,96
1151,Al-Si,96
1152,Al-Si,96
1153,Al-Si,96
1154,Al-Si,96
1155,Al-Si,96
1156,Al-Si,96
1157,Al-Si,96
1158,Al-Si,96
1159,Al-Si,96
1160,Al-Si,96
1161,Al-Si,96
1162,Al-Si,96
1163,Al-Si,96
1164,Al-Si,96
1165,Al-Si,96
1166,Al-Si,96
1167,Al-Si,96
1168,Al-Si,96
1169,Al-Si,96
1170,Al-Si,96
1171,Al-Si,96
1172,Al-Si,96
1173,Al-Si,96
1174,Al-Si,96
1175,Al-Si,96
1176,Al-Si,96
1177,Al-Si,96
1178,Al-Si,96
1179,Al-Si,96
1180,Al-Si,96
1181,Al-Si,96
1182,Al-Si,96
1183,Al-Si,96
1184,Al-Si,96
1185,Al-Si,96
1186,Al-Si,96
1187,Al-Si,96
1188,Al-Si,96
1189,Al-Si,96
1190,Al-Si,96
1191,Al-Si,96
1192,Al-Si,96
1193,Al-Si,96
1194,Al-Si,96
1195,Al-Si,96
1196,Al-Si,96
1197,Al-Si,96
1198,Al-Si,96
1199,Al-Si,96
1200,Al-Si,96
1201,Al-Si,96
1202,Al-Si,96
1203,Al-Si,96
1204,Al-Si,96
1205,Al-Si,96
1206,Al-Si,96
1207,Al-Si,96
1208,Al-Si,96
1209,Al-Si,96
1210,Al-Si,96
1211,Al-Si,96
1212,Al-Si,96
1213,Al-Si,96
1214,Al-Si,96
1215,Al-Si,96
1216,Al-Si,96
1217,Al-Si,96
1218,Al-Si,96
1219,Al-Si,96
1220,Al-Si,96
1221,Al-Si,96
1222,Al-Si,96
1223,Al-Si,96
1224,Al-Si,96
1225,Al-Si,96
1226,Al-Si,96
1227,Al-Si,96
1228,Al-Si,96
1229,Al-Si,96
1230,Al-Si,96
1231,Al-Si,96
1232,Al-Si,96
1233,Al-Si,96
1234,Al-Si,96
1235,Al-Si,96
1236,Al-Si,96
1237,Al-Si,96
1238,Al-Si,96
1239,Al-Si,96
1240,Al-Si,96
1241,Al-Si,96
1242,Al-Si,96
1243,Al-Si,96
1244,Al-Si,96
1245,Al-Si,96
1246,Al-Si,96
1247,Al-Si,96
1248,Al-Si,96
1249,Al-Si,96
1250,Al-Si,96
1251,Al-Si,96
1252,Al-Si,96
1253,Al-Si,96
1254,Al-Si,96
1255,Al-Si,96
1256,Al-Si,96
1257,Al-Si,96
1258,Al-Si,96
1259,Al-Si,96
1260,Al-Si,96
1261,Al-Si,96
1262,Al-Si,96
1263,Al-Si,96
1264,Al-Si,96
1265,Al-Si,96
1266,Al-Si,96
1267,Al-Si,96
1268,Al-Si,96
1269,Al-Si,96
1270,Al-Si,96
1271,Al-Si,96
1272,Al-Si,96
1273,Al-Si,96
1274,Al-Si,96
1275,Al-Si,96
1276,Al-Si,96
1277,Al-Si,96
1278,Al-Si,96
1279,Al-Si,96
1280,Al-Si,96
1281,Al-Si,96
1282,Al-Si,96
1283,Al-Si,96
1284,Al-Si,96
1285,Al-Si,96
1286,Al-Si,96
1287,Al-Si,96
1288,Al-Si,96
1289,Al-Si,96
1290,Al-Si,96
1291,Al-Si,96
1292,Al-Si,96
1293,Al-Si,96
1294,Al-Si,96
1295,Al-Si,96
1296,Al-Si,96
1297,Al-Si,96
1298,Al-Si,96
1299,Al-Si,96
1300,Al-Si,96
1301,Al-Si,96
1302,Al-Si,96
1303,Al-Si,96
1304,Al-Si,96
1305,Al-Si,96
1306,Al-Si,96
1307,Al-Si,96
1308,Al-Si,96
1309,Al-Si,96
1310,Al-Si,96
1311,Al-Si,96
1312,Al-Si,96
1313,Al-Si,96
1314,Al-Si,96
1315,Al-Si,96
1316,Al-Si,96
1317,Al-Si,96
1318,Al-Si,96
1319,Al-Si,96
1320,Al-Si,96
1321,Al-Si,96
1322,Al-Si,96
1323,Al-Si,96
1324,Al-Si,96
1325,Al-Si,96
1326,Al-Si,96
1327,Al-Si,96
1328,Al-Si,96
1329,Al-Si,96
1330,Al-Si,96
1331,Al-Si,96
