result_position,bridge_signature,rule_id,edge_count
455,Al-O-Si,T-O-T,96
456,Al-O-Si,T-O-T,96
457,Al-O-Si,T-O-T,96
458,Al-O-Si,T-O-T,96
459,Al-O-Si,T-O-T,96
460,Al-O-Si,T-O-T,96
461,Al-O-Si,T-O-T,96
462,Al-O-Si,T-O-T,96
463,Al-O-Si,T-O-T,96
464,Al-O-Si,T-O-T,96
465,Al-O-Si,T-O-T,96
466,Al-O-Si,T-O-T,96
467,Al-O-Si,T-O-T,96
468,Al-O-Si,T-O-T,96
469,Al-O-Si,T-O-T,96
470,Al-O-Si,T-O-T,96
471,Al-O-Si,T-O-T,96
472,Al-O-Si,T-O-T,96
473,Al-O-Si,T-O-T,96
474,Al-O-Si,T-O-T,96
475,Al-O-Si,T-O-T,96
476,Al-O-Si,T-O-T,96
477,Al-O-Si,T-O-T,96
478,Al-O-Si,T-O-T,96
479,Al-O-Si,T-O-T,96
480,Al-O-Si,T-O-T,96
481,Al-O-Si,T-O-T,96
482,Al-O-Si,T-O-T,96
483,Al-O-Si,T-O-T,96
484,Al-O-Si,T-O-T,96
485,Al-O-Si,T-O-T,96
486,Al-O-Si,T-O-T,96
487,Al-O-Si,T-O-T,96
488,Al-O-Si,T-O-T,96
489,Al-O-Si,T-O-T,96
490,Al-O-Si,T-O-T,96
491,Al-O-Si,T-O-T,96
492,Al-O-Si,T-O-T,96
493,Al-O-Si,T-O-T,96
494,Al-O-Si,T-O-T,96
495,Al-O-Si,T-O-T,96
496,Al-O-Si,T-O-T,96
497,Al-O-Si,T-O-T,96
498,Al-O-Si,T-O-T,96
499,Al-O-Si,T-O-T,96
500,Al-O-Si,T-O-T,96
501,Al-O-Si,T-O-T,96
502,Al-O-Si,T-O-T,96
503,Al-O-Si,T-O-T,96
504,Al-O-Si,T-O-T,96
505,Al-O-Si,T-O-T,96
506,Al-O-Si,T-O-T,96
507,Al-O-Si,T-O-T,96
508,Al-O-Si,T-O-T,96
509,Al-O-Si,T-O-T,96
510,Al-O-Si,T-O-T,96
511,Al-O-Si,T-O-T,96
512,Al-O-Si,T-O-T,96
513,Al-O-Si,T-O-T,96
514,Al-O-Si,T-O-T,96
515,Al-O-Si,T-O-T,96
516,Al-O-Si,T-O-T,96
517,Al-O-Si,T-O-T,96
518,Al-O-Si,T-O-T,96
519,Al-O-Si,T-O-T,96
520,Al-O-Si,T-O-T,96
